# City to Timezone Mapping
# Format: CITY_NAME|TIMEZONE_ID|COUNTRY|DISPLAY_NAME

# Indian Cities (IST - Asia/Kolkata)
Pune|Asia/Kolkata|India|Pune, India
Mumbai|Asia/Kolkata|India|Mumbai, India
Delhi|Asia/Kolkata|India|Delhi, India
Bangalore|Asia/Kolkata|India|Bangalore, India
Chennai|Asia/Kolkata|India|Chennai, India
Hyderabad|Asia/Kolkata|India|Hyderabad, India
Kolkata|Asia/Kolkata|India|Kolkata, India
Calcutta|Asia/Kolkata|India|Calcutta, India
Ahmedabad|Asia/Kolkata|India|Ahmedabad, India
Surat|Asia/Kolkata|India|Surat, India
Jaipur|Asia/Kolkata|India|Jaipur, India
Lucknow|Asia/Kolkata|India|Lucknow, India
Kanpur|Asia/Kolkata|India|Kanpur, India
Nagpur|Asia/Kolkata|India|Nagpur, India
Indore|Asia/Kolkata|India|Indore, India
Thane|Asia/Kolkata|India|Thane, India
Bhopal|Asia/Kolkata|India|Bhopal, India
Visakhapatnam|Asia/Kolkata|India|Visakhapatnam, India
Pimpri|Asia/Kolkata|India|Pimpri, India
Patna|Asia/Kolkata|India|Patna, India
Vadodara|Asia/Kolkata|India|Vadodara, India
Ghaziabad|Asia/Kolkata|India|Ghaziabad, India
Ludhiana|Asia/Kolkata|India|Ludhiana, India
Agra|Asia/Kolkata|India|Agra, India
Nashik|Asia/Kolkata|India|Nashik, India
Faridabad|Asia/Kolkata|India|Faridabad, India
Meerut|Asia/Kolkata|India|Meerut, India
Rajkot|Asia/Kolkata|India|Rajkot, India
Kalyan|Asia/Kolkata|India|Kalyan, India
Vasai|Asia/Kolkata|India|Vasai, India
Varanasi|Asia/Kolkata|India|Varanasi, India
Srinagar|Asia/Kolkata|India|Srinagar, India
Aurangabad|Asia/Kolkata|India|Aurangabad, India
Navi Mumbai|Asia/Kolkata|India|Navi Mumbai, India
Solapur|Asia/Kolkata|India|Solapur, India
Vijayawada|Asia/Kolkata|India|Vijayawada, India
Kolhapur|Asia/Kolkata|India|Kolhapur, India
Amritsar|Asia/Kolkata|India|Amritsar, India
Noida|Asia/Kolkata|India|Noida, India
Ranchi|Asia/Kolkata|India|Ranchi, India
Howrah|Asia/Kolkata|India|Howrah, India
Coimbatore|Asia/Kolkata|India|Coimbatore, India
Raipur|Asia/Kolkata|India|Raipur, India
Kochi|Asia/Kolkata|India|Kochi, India
Chandigarh|Asia/Kolkata|India|Chandigarh, India
Gwalior|Asia/Kolkata|India|Gwalior, India
Jodhpur|Asia/Kolkata|India|Jodhpur, India
Madurai|Asia/Kolkata|India|Madurai, India
Guwahati|Asia/Kolkata|India|Guwahati, India
Tiruchirappalli|Asia/Kolkata|India|Tiruchirappalli, India
Mysore|Asia/Kolkata|India|Mysore, India
Bhubaneswar|Asia/Kolkata|India|Bhubaneswar, India
Kochi|Asia/Kolkata|India|Kochi, India
Bhavnagar|Asia/Kolkata|India|Bhavnagar, India
Salem|Asia/Kolkata|India|Salem, India
Warangal|Asia/Kolkata|India|Warangal, India
Guntur|Asia/Kolkata|India|Guntur, India
Bhiwandi|Asia/Kolkata|India|Bhiwandi, India
Amravati|Asia/Kolkata|India|Amravati, India
Nanded|Asia/Kolkata|India|Nanded, India
Kolhapur|Asia/Kolkata|India|Kolhapur, India
Sangli|Asia/Kolkata|India|Sangli, India
Malegaon|Asia/Kolkata|India|Malegaon, India
Ulhasnagar|Asia/Kolkata|India|Ulhasnagar, India
Jalgaon|Asia/Kolkata|India|Jalgaon, India
Latur|Asia/Kolkata|India|Latur, India
Dhule|Asia/Kolkata|India|Dhule, India
Ahmednagar|Asia/Kolkata|India|Ahmednagar, India
Ichalkaranji|Asia/Kolkata|India|Ichalkaranji, India
Parbhani|Asia/Kolkata|India|Parbhani, India
Jalna|Asia/Kolkata|India|Jalna, India
Bhusawal|Asia/Kolkata|India|Bhusawal, India
Panvel|Asia/Kolkata|India|Panvel, India
Satara|Asia/Kolkata|India|Satara, India
Beed|Asia/Kolkata|India|Beed, India
Yavatmal|Asia/Kolkata|India|Yavatmal, India
Kamptee|Asia/Kolkata|India|Kamptee, India
Gondia|Asia/Kolkata|India|Gondia, India
Barshi|Asia/Kolkata|India|Barshi, India
Achalpur|Asia/Kolkata|India|Achalpur, India
Osmanabad|Asia/Kolkata|India|Osmanabad, India
Nandurbar|Asia/Kolkata|India|Nandurbar, India
Wardha|Asia/Kolkata|India|Wardha, India
Udgir|Asia/Kolkata|India|Udgir, India
Aurangabad|Asia/Kolkata|India|Aurangabad, India
Amalner|Asia/Kolkata|India|Amalner, India
Akola|Asia/Kolkata|India|Akola, India
