# World Currencies with Country Codes and Flag Emojis
# Format: CODE|NAME|COUNTRY|FLAG_EMOJI

# Major Currencies
USD|US Dollar|United States|🇺🇸
EUR|Euro|European Union|🇪🇺
GBP|British Pound|United Kingdom|🇬🇧
JPY|Japanese Yen|Japan|🇯🇵
CHF|Swiss Franc|Switzerland|🇨🇭
CAD|Canadian Dollar|Canada|🇨🇦
AUD|Australian Dollar|Australia|🇦🇺
NZD|New Zealand Dollar|New Zealand|🇳🇿

# Asian Currencies
INR|Indian Rupee|India|🇮🇳
CNY|Chinese Yuan|China|🇨🇳
KRW|South Korean Won|South Korea|🇰🇷
SGD|Singapore Dollar|Singapore|🇸🇬
HKD|Hong Kong Dollar|Hong Kong|🇭🇰
TWD|Taiwan Dollar|Taiwan|🇹🇼
THB|Thai Baht|Thailand|🇹🇭
MYR|Malaysian Ringgit|Malaysia|🇲🇾
IDR|Indonesian Rupiah|Indonesia|🇮🇩
PHP|Philippine Peso|Philippines|🇵🇭
VND|Vietnamese Dong|Vietnam|🇻🇳
PKR|Pakistani Rupee|Pakistan|🇵🇰
BDT|Bangladeshi Taka|Bangladesh|🇧🇩
LKR|Sri Lankan Rupee|Sri Lanka|🇱🇰
NPR|Nepalese Rupee|Nepal|🇳🇵
BTN|Bhutanese Ngultrum|Bhutan|🇧🇹
MMK|Myanmar Kyat|Myanmar|🇲🇲
KHR|Cambodian Riel|Cambodia|🇰🇭
LAK|Lao Kip|Laos|🇱🇦

# Middle East & Africa
AED|UAE Dirham|United Arab Emirates|🇦🇪
SAR|Saudi Riyal|Saudi Arabia|🇸🇦
QAR|Qatari Riyal|Qatar|🇶🇦
KWD|Kuwaiti Dinar|Kuwait|🇰🇼
BHD|Bahraini Dinar|Bahrain|🇧🇭
OMR|Omani Rial|Oman|🇴🇲
JOD|Jordanian Dinar|Jordan|🇯🇴
LBP|Lebanese Pound|Lebanon|🇱🇧
ILS|Israeli Shekel|Israel|🇮🇱
TRY|Turkish Lira|Turkey|🇹🇷
EGP|Egyptian Pound|Egypt|🇪🇬
ZAR|South African Rand|South Africa|🇿🇦
NGN|Nigerian Naira|Nigeria|🇳🇬
KES|Kenyan Shilling|Kenya|🇰🇪
GHS|Ghanaian Cedi|Ghana|🇬🇭
ETB|Ethiopian Birr|Ethiopia|🇪🇹
MAD|Moroccan Dirham|Morocco|🇲🇦
TND|Tunisian Dinar|Tunisia|🇹🇳
DZD|Algerian Dinar|Algeria|🇩🇿

# European Currencies
NOK|Norwegian Krone|Norway|🇳🇴
SEK|Swedish Krona|Sweden|🇸🇪
DKK|Danish Krone|Denmark|🇩🇰
ISK|Icelandic Krona|Iceland|🇮🇸
PLN|Polish Zloty|Poland|🇵🇱
CZK|Czech Koruna|Czech Republic|🇨🇿
HUF|Hungarian Forint|Hungary|🇭🇺
RON|Romanian Leu|Romania|🇷🇴
BGN|Bulgarian Lev|Bulgaria|🇧🇬
HRK|Croatian Kuna|Croatia|🇭🇷
RSD|Serbian Dinar|Serbia|🇷🇸
UAH|Ukrainian Hryvnia|Ukraine|🇺🇦
RUB|Russian Ruble|Russia|🇷🇺
BYN|Belarusian Ruble|Belarus|🇧🇾

# Americas
BRL|Brazilian Real|Brazil|🇧🇷
ARS|Argentine Peso|Argentina|🇦🇷
CLP|Chilean Peso|Chile|🇨🇱
COP|Colombian Peso|Colombia|🇨🇴
PEN|Peruvian Sol|Peru|🇵🇪
UYU|Uruguayan Peso|Uruguay|🇺🇾
PYG|Paraguayan Guarani|Paraguay|🇵🇾
BOB|Bolivian Boliviano|Bolivia|🇧🇴
VES|Venezuelan Bolivar|Venezuela|🇻🇪
MXN|Mexican Peso|Mexico|🇲🇽
GTQ|Guatemalan Quetzal|Guatemala|🇬🇹
HNL|Honduran Lempira|Honduras|🇭🇳
NIO|Nicaraguan Cordoba|Nicaragua|🇳🇮
CRC|Costa Rican Colon|Costa Rica|🇨🇷
PAB|Panamanian Balboa|Panama|🇵🇦
DOP|Dominican Peso|Dominican Republic|🇩🇴
JMD|Jamaican Dollar|Jamaica|🇯🇲
TTD|Trinidad and Tobago Dollar|Trinidad and Tobago|🇹🇹
BBD|Barbadian Dollar|Barbados|🇧🇧

# Other Currencies
RUB|Russian Ruble|Russia|🇷🇺
UAH|Ukrainian Hryvnia|Ukraine|🇺🇦
KZT|Kazakhstani Tenge|Kazakhstan|🇰🇿
UZS|Uzbekistani Som|Uzbekistan|🇺🇿
KGS|Kyrgyzstani Som|Kyrgyzstan|🇰🇬
TJS|Tajikistani Somoni|Tajikistan|🇹🇯
TMT|Turkmenistani Manat|Turkmenistan|🇹🇲
AFN|Afghan Afghani|Afghanistan|🇦🇫
IRR|Iranian Rial|Iran|🇮🇷
IQD|Iraqi Dinar|Iraq|🇮🇶
YER|Yemeni Rial|Yemen|🇾🇪
SYP|Syrian Pound|Syria|🇸🇾
LBP|Lebanese Pound|Lebanon|🇱🇧
JOD|Jordanian Dinar|Jordan|🇯🇴
ILS|Israeli Shekel|Israel|🇮🇱
